"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000111221",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111222",0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000111224",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111225",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111227",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111228",0.463827620839329,0,0,1.2929140928127,0,1.00316225441325,0.146494705737328,0,0,0
"ENSMUSG00000111229",12,1,0,0,0,1,0,0,0,0
"ENSMUSG00000111232",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000111233",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111234",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111235",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111236",3.33045674240682,5.98194841595924,3.44840308736625,3.4617513405954,4.16081069731387,4.01126615211578,1.02742369805067,1.09408891354655,2.33512575802832,3.21786858999799
"ENSMUSG00000111238",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111239",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111240",4.12973630055501,6.59881381033983,3.02116009674675,2.35251385702766,3.65992302448844,2.00007284596894,2.6046490581068,0,0,2.06713358927122
"ENSMUSG00000111241",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111242",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111243",0,1,0,0,0,0,0,2,0,0
"ENSMUSG00000111244",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111245",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111246",2,6,5,5,5,2,5,7,1,3
"ENSMUSG00000111248",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111249",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111250",0,3.36879646001099,0,0,1.17260640887695,0,1.81340148466492,0,0,0
"ENSMUSG00000111251",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111252",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111253",1,7,3,8,19,14,12,6,15,10
"ENSMUSG00000111256",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111257",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111258",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111259",1.13887353468007,0,0,1,3,1,0,0,1,0
"ENSMUSG00000111260",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111262",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000111263",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111265",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111266",0,1.01051265118258,0,0,0,0,0,2,2,0
"ENSMUSG00000111267",0,0,0,0,1.00703997711988,2.95860092146972,0,1.27113219178446,1.01798807635746,0
"ENSMUSG00000111268",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111269",5.27133866770972,4.39691867136278,5.64121014575231,3.89571831904629,1.85301749007911,3.40704359269848,2.13935207315141,0.863366834333433,4.79048925501804,1.03434077246799
"ENSMUSG00000111270",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111271",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111272",0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000111273",0,0,0,2.00944427528013,0,0,0,0,1.00410457691843,1.00387283656726
"ENSMUSG00000111274",1.41515557094895,1.97043738360646,0,0,0,1.41513448404914,7.12745966921075,0,0,5.37658888221776
"ENSMUSG00000111275",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000111276",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111278",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111281",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111283",1,1,0,0,0,0,0,1,0,0
"ENSMUSG00000111284",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111285",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111286",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111290",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000111291",39,29.110655794571,46.7676317246265,14.0835568978156,34.1314503885631,33,6,12,18,12.0932557915643
"ENSMUSG00000111293",0,4,3,4,6,4,2,2,2,6
"ENSMUSG00000111295",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111296",26,7,25,11,14,9,0,0,0,0
"ENSMUSG00000111297",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111298",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111299",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111300",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111301",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111302",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111303",0,8,1,12,29,14,12,16,12,3
"ENSMUSG00000111304",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111305",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111306",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111309",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111310",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111313",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111315",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111316",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111317",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111318",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000111320",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111322",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111323",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111324",2,60,8,33,64,36,41,42,73,42
"ENSMUSG00000111325",3,10.2366994664505,8.24668054650458,5.11323976712984,8.1287276539026,2,1,3.0910479187908,6.33102556738722,6.65595554819825
"ENSMUSG00000111326",1.00828124218808,0,2.03493093930661,0,0,1.0264462710948,0,0,0,0
"ENSMUSG00000111327",3.92261419565925,4.50834026795576,3.60454949933987,0,1.78075329163335,0,9.30506634570949,3.08921410113905,4.5658082598788,0
"ENSMUSG00000111329",2,3,6,2,6,7,6,1,3,11
"ENSMUSG00000111330",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111333",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111334",1,12,6,7,16,20,9,18,12,9
"ENSMUSG00000111335",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111336",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111337",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111338",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111339",0,0,0,2.98193745341288,0.109641882750066,0,0,0,0,0
"ENSMUSG00000111342",20,2,0,3,1,0,0,1,0,3
"ENSMUSG00000111344",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111346",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111348",2,2,3,3,10,4,5,3,5,4
"ENSMUSG00000111349",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111350",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111351",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111352",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111353",0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000111354",0,1.00342879946989,0,0,1.0199106588397,0,0,1.00450366638458,0,2.01034508796774
"ENSMUSG00000111355",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111356",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111357",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111359",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111360",2,1.43283036024542,5,5.94996450392382,2,3,3.5602885651971,3,6.06436457211418,5
"ENSMUSG00000111362",0,0,0,4,0,0,0,0,0,0
"ENSMUSG00000111363",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111364",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111365",0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000111366",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111368",7,21,14,19,25,27,25,19,27,18
"ENSMUSG00000111369",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111371",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111373",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111374",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111375",47.8064895843902,223.663534635054,81.87148368962,167.588039055841,272.922523963317,166.034254419824,184.951595528883,195.680902673522,221.539177335502,187.967085506416
"ENSMUSG00000111376",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111377",2,2,0,0,1,1,1,0,0,0
"ENSMUSG00000111378",8.11257375054289,1.01562191897355,0,2.00140190177534,4.00248012445238,3.04845436521906,3.00529245933826,1.00090423015266,2.02944997793823,2.00175076947586
"ENSMUSG00000111379",1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000111380",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111381",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111382",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111383",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111384",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111386",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111387",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111388",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111389",1.14654124689585,11.2649025815238,7.99699359267691,5.73371344195421,7.9998717530271,1.59020309461755,4.00008998583205,4.60573812511682,4.79051383386992,14.0834416671847
"ENSMUSG00000111390",1,9,7,2,4,6,2,2,4,5
"ENSMUSG00000111395",0,0,0,0,0,0,1,0,0,1
"ENSMUSG00000111396",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111398",0,0,0,0,2.00019295404588,0,1.00913908756988,2.04093329205465,0,0
"ENSMUSG00000111399",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111400",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111403",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111404",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111405",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000111406",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111409",0,0,0,0,0,0,0,0,3.48540891104686,3.17177178920966
"ENSMUSG00000111410",0,0,0,0,0.0366600896485525,0,0,0,0,0
"ENSMUSG00000111411",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111412",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111413",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111414",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111415",0,1,0,0,0,0,0,1,0,1
"ENSMUSG00000111416",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111417",0,0,1,0,0,0,1,0,0,0
"ENSMUSG00000111418",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111419",1,6,3,1,5,5,5,2,3,7
"ENSMUSG00000111420",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111422",4,1,0,0,1,1,0,0,0,0
"ENSMUSG00000111423",0,0,2.5,0.5,0,1.5,0,0,0,0
"ENSMUSG00000111425",1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000111426",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111427",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111428",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111429",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111430",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111431",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111432",1,0,3,0,0,0,0,1,0,0
"ENSMUSG00000111434",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111435",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111436",8.15380744530667,0,0,2.40267359216407,2.48633901981089,0,5.94589273914081,9.14315546781509,5.41125663562099,7.23758307085699
"ENSMUSG00000111437",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111438",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111439",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111440",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111441",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111443",4.00084546802177,44.0070916455569,11.0004842453046,50.0015775002569,49.0043196187356,45.0025765214022,35.0052849871709,47.0028728781574,90.6184023167259,33.0045842326117
"ENSMUSG00000111444",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000111445",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111446",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111447",0,2,0,0,0,1,0,1,4,0
"ENSMUSG00000111448",1,2.0900141684908,0,0,0,1,0,0,1.01046258301371,0
"ENSMUSG00000111449",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111450",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111451",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111453",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111454",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111455",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111456",2.25677581075563,0,2.14463121313427,0,0,0,0,0,0,0
"ENSMUSG00000111457",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111458",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111459",0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000111460",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111462",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111463",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111464",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111465",0,2.15311070685523,1.04590331130999,2.03563919249595,1.03255582980828,4.10428221816633,0,2.03225973808123,1.04946559566065,1.01343447365204
"ENSMUSG00000111466",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000111467",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111470",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111471",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111472",9.03172213390886,0,8.3719267924123,0,1.75526980269386,4.12127892685695,0,1.53619469179079,3.90301347795637,8.7989683972559
"ENSMUSG00000111473",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111474",1,18,11,18,19,16,15,12,22,12
"ENSMUSG00000111477",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111478",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000111479",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111480",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111482",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111483",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000111484",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111485",27.9309826141174,43.6054825180481,51.2170516056324,35.2391568559492,47.5426181839384,24.7133937618787,53.4735642899901,28.8502079707394,13.5511654433695,36.4956790204153
"ENSMUSG00000111488",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111489",0,3.0000914200199,3.00016199313769,0,4.00047211256827,0,2.00023341097924,1.00004642833961,1,1.00010762234057
"ENSMUSG00000111492",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111493",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111494",0,0,0,0,0,0,0,0,0.463369732255872,0
"ENSMUSG00000111495",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111497",84.1184610435892,63.6251774268253,124.333558685029,41.3414414414388,110.154161882204,106.019101332805,127.381352349194,150.688183935337,67.7953794819372,39.6163740226831
"ENSMUSG00000111498",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111499",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111500",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111503",0,0,0,1,0,0,0,0,0,2
"ENSMUSG00000111504",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111506",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111507",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111508",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111510",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111511",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111512",0,1,0,1,0,0,1,0,0,2
"ENSMUSG00000111514",0,0,2,0,1,0,0,0,0,0
"ENSMUSG00000111515",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111517",1.00533488129192,2.02559022659001,17.7800718032248,4.05952194538485,4.03985268814577,7.0249435052071,6.04961017998407,6.05930966840114,0,9.14999349876059
"ENSMUSG00000111518",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111520",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111521",38,22,47,20,16,21,20,14,16,14
"ENSMUSG00000111524",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111525",0,0,1,0,0,0,1,0,0,0
"ENSMUSG00000111526",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111528",0,6,0,6,2,1,4,8,5,2
"ENSMUSG00000111529",0,2,0,0,1.00347106969128,2.00625962001495,0,2.00228006071492,2.00577218638508,0
"ENSMUSG00000111530",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111531",1,1,1,0,2,3,1,0,0,0
"ENSMUSG00000111532",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111533",0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000111534",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111535",1,1,0,1,0,1,2,1,0,0
"ENSMUSG00000111537",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111541",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111542",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111543",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111544",0,0,5.17724329906769,2.2408359598815,1.04066057558721,1.10363730910638,0,0,2.09686046799735,4.29146595111185
"ENSMUSG00000111545",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111548",8,0,9,1,0,2,0,0,0,1
"ENSMUSG00000111549",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111550",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000111551",38.1035739748738,87.4436421992174,12.4620347995654,14.4142959969363,0.284626860899342,0,15.6633562517086,76.7294125686369,38.0937218556359,23.3639168187916
"ENSMUSG00000111552",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111553",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111554",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111555",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111556",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111557",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111558",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111560",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111561",0,0,0,0,0,1,0,0,0,2
"ENSMUSG00000111562",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111564",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000111565",1.00004854936739,0,0,0,0,1.00005654157267,0,0,0,0
"ENSMUSG00000111566",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111567",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111568",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111569",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111570",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000111572",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111573",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111574",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111575",3,0,1.06204039748226,0,0,1,0,0,0,0
"ENSMUSG00000111576",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111577",0,1,4,0,0,1,1.15271219760084,2,2,2
"ENSMUSG00000111578",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111580",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111581",0,0,0,0.713716503624937,0,0,0,0,0,0
"ENSMUSG00000111582",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111583",0,14,0,29,22,18,9,11,12,9
"ENSMUSG00000111585",8.71240653253013,8.36107345888478,14.3872989885863,1.26029204590929,6.64521163807389,2.15036598295098,7.0024265448411,4.40201235377663,6.41196733336226,4.39303795902942
"ENSMUSG00000111587",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111589",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111590",3.39358557662915,5.05659952206908,7.8912326794331,2.01558259882026,1,3.01573775647451,1.09437961705876,3.01408588188224,2.20106067919396,1.00481308936985
"ENSMUSG00000111591",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111593",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111594",4.21446271438251,8.02861776338642,6.00705499403099,4.1012431609963,9.03812968271302,8.01958257673222,6,3.01751090468366,4.05037927103008,4.19223617088194
"ENSMUSG00000111596",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111597",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111598",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000111600",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111601",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111602",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000111604",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111606",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111608",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111609",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111610",0,1,0,1,1,1,0,1,0,0
"ENSMUSG00000111611",0,0,3.00022700184449,0,0,0,0,0,2,1.00005716446144
"ENSMUSG00000111612",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111613",3.0072427483366,4.01070132754315,0,1.00189525390605,2.00435449572959,1.00244381349681,1.00211665210055,1.00214621189506,0,0
"ENSMUSG00000111615",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111616",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111618",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111619",155,52,206,59,52,66,36,42,47,45
"ENSMUSG00000111620",6,1,9,2,2,0,0,0,1,0
"ENSMUSG00000111621",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111622",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111625",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111626",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111627",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111629",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000111630",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111631",2,2.06646696491589,5,3.00546187488973,1.49685116320198,2,0,4.0346776852904,0,0
"ENSMUSG00000111633",0,1.35859470108592,0,0,0,0,0,0,1.00013823992157,0
"ENSMUSG00000111635",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111637",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111638",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111639",1.00061983683884,0,0,1,1.00314917862003,0,0,0,0,0
"ENSMUSG00000111643",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111645",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111646",0,0,0,0,0,0,2,0,1,0
"ENSMUSG00000111648",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111649",0,5,1,1,3,2,4,0,1,1
"ENSMUSG00000111651",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111654",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111655",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111656",6,28,0,17,23,18,16,14,13,15
"ENSMUSG00000111657",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000111658",1,0,0,0,3,0,0,0,0,0
"ENSMUSG00000111660",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111661",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111662",4,8,13,10,16,9,6,9,14,8
"ENSMUSG00000111663",0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000111665",1,0,0,0,0,1,1,1,0,0
"ENSMUSG00000111666",0,0,0,0,1.0001385645192,0,0,0,0,0
"ENSMUSG00000111667",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111668",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111669",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111670",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111671",1.04462168000335,3.11062829369988,0,3.158559940847,4.16212258141598,2.09181637199592,0,0,3.12276849154139,4.23455802738148
"ENSMUSG00000111672",0,1,1,0,0,0,0,0,0,1
"ENSMUSG00000111673",0,0,1,0,2,1,0,1,0,2
"ENSMUSG00000111674",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111678",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111680",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111682",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111683",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111684",0,0,1.00624830710861,0,0,0,0,0,0,0
"ENSMUSG00000111686",4.29072944759728,0,4.13803114328671,0,0,0,0,0,0,0
"ENSMUSG00000111687",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111689",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000111691",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111692",1.83018882899236,7.27112309719362,0,7.26051681699336,0,4.07561079228565,3.00356508143216,0,0,0
"ENSMUSG00000111693",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111694",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000111695",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111696",0,1.44384218492809,0,0,1.98541368663613,0,3.43370041734831,0,0,0
"ENSMUSG00000111697",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111698",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111699",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000111700",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111702",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111704",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111707",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111708",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111709",4422.9021220819,106.637653607812,6723.73064731505,1278.98517268375,699.05418189027,1489.46877632771,181.077210475927,22.6294577276701,98.6727503910426,12.2088953894853
"ENSMUSG00000111710",1,1,3,1,2,0,0,0,1.00099296383754,3
"ENSMUSG00000111711",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111712",0,2,3,2,1,0,0,0,1,0
"ENSMUSG00000111713",6.19225669530522,0,13.7092477321,1,1.22414323357297,1.06463466703227,0,1.06773895345928,1,0
